"PLATZ_ID","BEREICH","REGAL","FACH","EBENE","PLATZ_TYP","PLATZ_ART","KAPA","IST_LHM","FREI_LHM","ABC_KLASSE","ZUSTAND"
"032105206","03","21","052","06","P","R","1","1","0","B",""
"032701600","03","27","016","00","P","K","1","0","1","A",""
"032105504","03","21","055","04","P","R","1","0","1","B",""
"031606001","03","16","060","01","P","R","1","0","1","C",""
"032504500","03","25","045","00","P","K","1","1","0","A",""
"030502805","03","05","028","05","P","R","1","0","1","C","150.0"
"032703000","03","27","030","00","P","K","1","1","0","A",""
"030803300","03","08","033","00","P","DK","1","0","1","B",""
"030803302","03","08","033","02","P","R","1","0","1","B",""
"032704100","03","27","041","00","P","K","1","1","0","A",""
"031003801","03","10","038","01","P","DK","1","0","1","B",""
"032804800","03","28","048","00","P","K","1","1","0","A",""
"030804900","03","08","049","00","P","DK","1","1","0","B",""
"030804901","03","08","049","01","P","DK","1","0","1","B",""
"030804505","03","08","045","05","P","R","1","0","1","B",""
"032704905","03","27","049","05","P","R","1","0","1","A",""
"032801300","03","28","013","00","P","K","1","0","1","A",""
"031003705","03","10","037","05","P","R","1","0","1","B",""
"032505200","03","25","052","00","P","K","1","1","0","A",""
"030705100","03","07","051","00","P","DK","1","2","0","A",""
"030705105","03","07","051","05","P","R","1","0","1","B",""
"032305200","03","23","052","00","P","K","1","1","0","B",""
"032605600","03","26","056","00","P","K","1","1","0","A",""
"030600101","03","06","001","01","P","K","1","0","1","C",""
"030701001","03","07","010","01","P","K","1","0","1","C",""
"032502400","03","25","024","00","P","K","1","1","0","A",""
"030605601","03","06","056","01","P","DK","1","0","1","B",""
"030605604","03","06","056","04","P","R","1","0","1","B",""
"030605904","03","06","059","04","P","R","1","0","1","B",""
"032504905","03","25","049","05","P","R","1","0","1","A",""
"032906000","03","29","060","00","P","K","1","1","0","A",""
