PLATZ_ID,REGAL,FACH,EBENE,UTILIZATION,HEATMAP_COLOR
034505502,45,55,2,100.0,RED
034505503,45,55,3,0.0,GREEN
034100903,41,9,3,0.0,GREEN
034101001,41,10,1,0.0,GREEN
034505504,45,55,4,0.0,GREEN
034604401,46,44,1,100.0,RED
034604403,46,44,3,0.0,GREEN
032806401,28,64,1,100.0,RED
034506600,45,66,0,0.0,GREEN
032806400,28,64,0,100.0,RED
031703000,17,30,0,100.0,RED
032901402,29,14,2,100.0,RED
032900500,29,5,0,0.0,GREEN
032802200,28,22,0,100.0,RED
034604404,46,44,4,0.0,GREEN
034604501,46,45,1,100.0,RED
034101101,41,11,1,0.0,GREEN
034604504,46,45,4,0.0,GREEN
034604703,46,47,3,100.0,RED
034604704,46,47,4,0.0,GREEN
034101202,41,12,2,0.0,GREEN
034604803,46,48,3,100.0,RED
034604903,46,49,3,100.0,RED
034605004,46,50,4,0.0,GREEN
034605104,46,51,4,0.0,GREEN
034605203,46,52,3,0.0,GREEN
034101502,41,15,2,0.0,GREEN
032706400,27,64,0,50.0,YELLOW
032606600,26,66,0,50.0,YELLOW
032606700,26,67,0,100.0,RED
032905006,29,50,6,0.0,GREEN
032902400,29,24,0,0.0,GREEN
032603000,26,30,0,0.0,GREEN
034811512,48,115,12,0.0,GREEN
034811712,48,117,12,0.0,GREEN
034811912,48,119,12,100.0,RED
034811711,48,117,11,0.0,GREEN
034811911,48,119,11,100.0,RED
034812011,48,120,11,0.0,GREEN
032507200,25,72,0,50.0,YELLOW
034811811,48,118,11,0.0,GREEN
034811611,48,116,11,0.0,GREEN
034812211,48,122,11,0.0,GREEN
034812411,48,124,11,0.0,GREEN
030702200,07,22,0,0.0,GREEN
032506900,25,69,0,50.0,YELLOW
030802501,08,25,1,0.0,GREEN
031000505,10,5,5,0.0,GREEN
032709100,27,91,0,100.0,RED
030702900,07,29,0,0.0,GREEN
032607200,26,72,0,0.0,GREEN
032809200,28,92,0,100.0,RED
030703800,07,38,0,100.0,RED
032506400,25,64,0,50.0,YELLOW
032808100,28,81,0,50.0,YELLOW
032604300,26,43,0,100.0,RED
030903600,09,36,0,200.0,RED
032608700,26,87,0,50.0,YELLOW
031100605,11,6,5,0.0,GREEN
032508900,25,89,0,50.0,YELLOW
031701900,17,19,0,100.0,RED
031701901,17,19,1,200.0,RED
031504300,15,43,0,100.0,RED
032000406,20,4,6,0.0,GREEN
031701101,17,11,1,100.0,RED
031301603,13,16,3,0.0,GREEN
032307100,23,71,0,100.0,RED
031903605,19,36,5,0.0,GREEN
031505700,15,57,0,100.0,RED
031505801,15,58,1,0.0,GREEN
031505804,15,58,4,100.0,RED
034605400,46,54,0,100.0,RED
034605803,46,58,3,0.0,GREEN
032702400,27,24,0,100.0,RED
034704603,47,46,3,0.0,GREEN
031606904,16,69,4,100.0,RED
031601800,16,18,0,100.0,RED
030803601,08,36,1,0.0,GREEN
032704500,27,45,0,100.0,RED
034705104,47,51,4,0.0,GREEN
031202501,12,25,1,0.0,GREEN
031103601,11,36,1,0.0,GREEN
